tier_snapshot_id,fetched_at,tier_updated_at,tier_updated_date,tier_mode,tier_mode_cn,character_slug,character_name_en,character_name_cn,prydwen_category,prydwen_role,role_group,role_group_cn,tier,rating,tags,marks,is_new,element,element_cn,style,style_cn,faction,rarity,icon_url,source_url,collect_date,phase_ver,phase_name,app_rate,avg_score,quality_flag
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,soldier-11,Soldier 11,「11号」,CritDPS,直伤主C,crit_dps,直伤主C,T1.5,8,,down,,Fire,火,Attack,强攻,OBOLS Squad,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/soldier-11.webp,https://www.prydwen.gg/zenless/tier-list,2026-04-21,2.7.2,式舆防卫 2.7.2,0.56,27778,ok
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,soldier-11,Soldier 11,「11号」,CritDPS,直伤主C,crit_dps,直伤主C,T1.5,8,,down,,Fire,火,Attack,强攻,OBOLS Squad,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/soldier-11.webp,https://www.prydwen.gg/zenless/tier-list,2026-05-11,2.7.3,式舆防卫 2.7.3,0.43,26768,ok
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,soldier-11,Soldier 11,「11号」,CritDPS,直伤主C,crit_dps,直伤主C,T1.5,8,,down,,Fire,火,Attack,强攻,OBOLS Squad,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/soldier-11.webp,https://www.prydwen.gg/zenless/tier-list,2026-06-02,2.8.2,式舆防卫 2.8.2,0.91,24073,ok
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,soldier-11,Soldier 11,「11号」,CritDPS,直伤主C,crit_dps,直伤主C,T1.5,8,,down,,Fire,火,Attack,强攻,OBOLS Squad,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/soldier-11.webp,https://www.prydwen.gg/zenless/tier-list,2026-06-15,2.8.3,式舆防卫 2.8.3,1.87,27692,ok
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,soldier-11,Soldier 11,「11号」,CritDPS,直伤主C,crit_dps,直伤主C,T1.5,8,,down,,Fire,火,Attack,强攻,OBOLS Squad,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/soldier-11.webp,https://www.prydwen.gg/zenless/tier-list,2026-06-21,2.8.3,式舆防卫 2.8.3,1.6,27550,ok
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,soldier-11,Soldier 11,「11号」,CritDPS,直伤主C,crit_dps,直伤主C,T1.5,8,,down,,Fire,火,Attack,强攻,OBOLS Squad,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/soldier-11.webp,https://www.prydwen.gg/zenless/tier-list,2026-02-17,2.6.1,危局强袭 2.6.1,0.95,22482,ok
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,soldier-11,Soldier 11,「11号」,CritDPS,直伤主C,crit_dps,直伤主C,T1.5,8,,down,,Fire,火,Attack,强攻,OBOLS Squad,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/soldier-11.webp,https://www.prydwen.gg/zenless/tier-list,2026-03-10,2.6.2,危局强袭 2.6.2,0.78,22122,ok
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,soldier-11,Soldier 11,「11号」,CritDPS,直伤主C,crit_dps,直伤主C,T1.5,8,,down,,Fire,火,Attack,强攻,OBOLS Squad,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/soldier-11.webp,https://www.prydwen.gg/zenless/tier-list,2026-03-31,2.7.1,危局强袭 2.7.1,0.56,24266,ok
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,soldier-11,Soldier 11,「11号」,CritDPS,直伤主C,crit_dps,直伤主C,T1.5,8,,down,,Fire,火,Attack,强攻,OBOLS Squad,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/soldier-11.webp,https://www.prydwen.gg/zenless/tier-list,2026-04-21,2.7.2,危局强袭 2.7.2,0.71,23724,ok
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,soldier-11,Soldier 11,「11号」,CritDPS,直伤主C,crit_dps,直伤主C,T1.5,8,,down,,Fire,火,Attack,强攻,OBOLS Squad,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/soldier-11.webp,https://www.prydwen.gg/zenless/tier-list,2026-05-11,2.8.1,危局强袭 2.8.1,0.83,22344,ok
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,soldier-11,Soldier 11,「11号」,CritDPS,直伤主C,crit_dps,直伤主C,T1.5,8,,down,,Fire,火,Attack,强攻,OBOLS Squad,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/soldier-11.webp,https://www.prydwen.gg/zenless/tier-list,2026-06-02,2.8.2,危局强袭 2.8.2,0.49,18618,ok
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,soldier-11,Soldier 11,「11号」,CritDPS,直伤主C,crit_dps,直伤主C,T1.5,8,,down,,Fire,火,Attack,强攻,OBOLS Squad,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/soldier-11.webp,https://www.prydwen.gg/zenless/tier-list,2026-06-15,2.8.3,危局强袭 2.8.3,0.61,24328,ok
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,soldier-11,Soldier 11,「11号」,CritDPS,直伤主C,crit_dps,直伤主C,T1.5,8,,down,,Fire,火,Attack,强攻,OBOLS Squad,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/soldier-11.webp,https://www.prydwen.gg/zenless/tier-list,2026-06-21,3.0.1,危局强袭 3.0.1,0.33,23265,ok
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,soukaku,Soukaku,苍角,Support,辅助,support,辅助,T1.5,8,Partner (Miyabi),down,,Ice,冰,Support,支援,Section 6,A,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/soukaku.webp,https://www.prydwen.gg/zenless/tier-list,2026-02-17,2.6.1,式舆防卫 2.6.1,3.97,33287,ok
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,soukaku,Soukaku,苍角,Support,辅助,support,辅助,T1.5,8,Partner (Miyabi),down,,Ice,冰,Support,支援,Section 6,A,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/soukaku.webp,https://www.prydwen.gg/zenless/tier-list,2026-03-10,2.6.3,式舆防卫 2.6.3,1.85,27864,ok
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,soukaku,Soukaku,苍角,Support,辅助,support,辅助,T1.5,8,Partner (Miyabi),down,,Ice,冰,Support,支援,Section 6,A,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/soukaku.webp,https://www.prydwen.gg/zenless/tier-list,2026-03-31,2.6.4,式舆防卫 2.6.4,3.87,27952,ok
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,soukaku,Soukaku,苍角,Support,辅助,support,辅助,T1.5,8,Partner (Miyabi),down,,Ice,冰,Support,支援,Section 6,A,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/soukaku.webp,https://www.prydwen.gg/zenless/tier-list,2026-04-21,2.7.2,式舆防卫 2.7.2,2.2,27379,ok
