snapshot_id,collect_date,mode,mode_cn,sub_mode,sub_mode_cn,phase_ver,phase_name,start_date,end_date,character_slug,character_name_en,character_name_cn,role,rarity,app_rate,avg_score,sample,sample_players,cons_avg,char_level,w_engine_level,core_skill,source_kind,source_file,source_url,quality_flag
2.8.1,2026-05-11,da,危局强袭,1-3,首领 3,2.8.1,危局强袭 2.8.1,2026-05-08,2026-05-22,billy-kid,Billy Kid,比利·奇德,直伤主C,A,0.17,21542,25,17,6.0,60.0,60.0,7.0,hf_builds,2.8.1/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.8.1/builds.json,ok
2.8.2,2026-06-02,da,危局强袭,1-3,首领 3,2.8.2,危局强袭 2.8.2,2026-05-22,2026-06-05,billy-kid,Billy Kid,比利·奇德,直伤主C,A,0.01,0,14,1,6.0,60.0,60.0,7.0,hf_builds,2.8.2/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.8.2/builds.json,ok
2.8.3,2026-06-15,da,危局强袭,1-3,首领 3,2.8.3,危局强袭 2.8.3,2026-06-05,2026-06-19,billy-kid,Billy Kid,比利·奇德,直伤主C,A,0.11,0,22,10,6.0,60.0,60.0,7.0,hf_builds,2.8.3/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.8.3/builds.json,ok
3.0.1,2026-06-21,da,危局强袭,1-3,首领 3,3.0.1,危局强袭 3.0.1,2026-06-19,2026-07-03,billy-kid,Billy Kid,比利·奇德,直伤主C,A,0.01,0,3,2,6.0,60.0,60.0,7.0,hf_builds,3.0.1/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/3.0.1/builds.json,ok
2.8.2,2026-06-02,da,危局强袭,1-3,首领 3,2.8.2,危局强袭 2.8.2,2026-05-22,2026-06-05,billy-starlight,Starlight - Billy,星徽·比利,直伤主C,S,0.22,16099,1356,445,0.26,59.99,59.27,6.99,hf_builds,2.8.2/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.8.2/builds.json,ok
2.8.3,2026-06-15,da,危局强袭,1-3,首领 3,2.8.3,危局强袭 2.8.3,2026-06-05,2026-06-19,billy-starlight,Starlight - Billy,星徽·比利,直伤主C,S,2.04,28288,2742,734,0.26,59.99,59.89,6.99,hf_builds,2.8.3/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.8.3/builds.json,ok
3.0.1,2026-06-21,da,危局强袭,1-3,首领 3,3.0.1,危局强袭 3.0.1,2026-06-19,2026-07-03,billy-starlight,Starlight - Billy,星徽·比利,直伤主C,S,11.68,32553,1750,1193,0.27,60.0,59.64,6.99,hf_builds,3.0.1/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/3.0.1/builds.json,ok
2.6.1,2026-02-17,da,危局强袭,1-3,首领 3,2.6.1,危局强袭 2.6.1,2026-02-13,2026-02-27,burnice,Burnice White,柏妮思·怀特,异常主C,S,7.34,27792,1301,273,0.37,60.0,59.65,6.99,hf_builds,2.6.1/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.1/builds.json,ok
2.6.2,2026-03-10,da,危局强袭,1-3,首领 3,2.6.2,危局强袭 2.6.2,2026-02-27,2026-03-13,burnice,Burnice White,柏妮思·怀特,异常主C,S,4.06,21382,774,245,0.41,60.0,59.79,7.0,hf_builds,2.6.2/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.2/builds.json,ok
2.7.1,2026-03-31,da,危局强袭,1-3,首领 3,2.7.1,危局强袭 2.7.1,2026-03-27,2026-04-10,burnice,Burnice White,柏妮思·怀特,异常主C,S,4.64,26088,738,250,0.34,60.0,59.65,6.99,hf_builds,2.7.1/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.7.1/builds.json,ok
