team_signature,team_slugs,team_cn,confidence,record_count,snapshot_count,phase_count,mode_count,scope_count,boss_count,source_kind_count,max_app_rate,median_app_rate,best_rank,best_score,non_sentinel_score_count,sentinel_score_count,modes,phase_versions,scopes,source_kinds,evidence_comment,risk_comment
anby-demara-soldier-0|dialyn|ukinami-yuzuha,"anby-demara-soldier-0, dialyn, ukinami-yuzuha",零号·安比 / 琉音 / 浮波柚叶,B-,1,1,1,1,1,1,1,0.01,0.01,166,20134,1,0,da,da:2.6.2,1-2_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
anby-demara-soldier-0|ju-fufu|nicole-demara,"anby-demara-soldier-0, ju-fufu, nicole-demara",零号·安比 / 橘福福 / 妮可·德玛拉,B-,1,1,1,1,1,1,1,0.01,0.01,200,20582,1,0,da,da:2.7.2,1-2_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
anby-demara-soldier-0|lucy|pulchra,"anby-demara-soldier-0, lucy, pulchra",零号·安比 / 露西亚娜·德·蒙特夫 / 波可娜·费雷尼,B-,1,1,1,1,1,1,1,0.01,0.01,214,18540,1,0,sd,sd:2.8.2,5-3_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
anby-demara-soldier-0|nicole-demara|sunna,"anby-demara-soldier-0, nicole-demara, sunna",零号·安比 / 妮可·德玛拉 / 千夏,B-,1,1,1,1,1,1,1,0.01,0.01,176,23533,1,0,da,da:2.8.3,1-3_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
anby-demara-soldier-0|pulchra|rina,"anby-demara-soldier-0, pulchra, rina",零号·安比 / 波可娜·费雷尼 / 亚历山德丽娜·莎芭丝缇安,B-,1,1,1,1,1,1,1,0.01,0.01,222,26852,1,0,sd,sd:2.6.1,5-2_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
anby-demara-soldier-0|ukinami-yuzuha|yanagi,"anby-demara-soldier-0, ukinami-yuzuha, yanagi",零号·安比 / 浮波柚叶 / 月城 柳,B-,1,1,1,1,1,1,1,0.01,0.01,222,26740,1,0,sd,sd:2.6.1,5-2_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
anby-demara|anby-demara-soldier-0|astra-yao,"anby-demara, anby-demara-soldier-0, astra-yao",安比·德玛拉 / 零号·安比 / 耀嘉音,B-,1,1,1,1,1,1,1,0.01,0.01,153,20499,1,0,da,da:2.8.1,1-3_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
anby-demara|harumasa|nicole-demara,"anby-demara, harumasa, nicole-demara",安比·德玛拉 / 浅羽 悠真 / 妮可·德玛拉,B-,1,1,1,1,1,1,1,0.01,0.01,197,11165,1,0,da,da:2.8.2,1-3_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
anby-demara|harumasa|rina,"anby-demara, harumasa, rina",安比·德玛拉 / 浅羽 悠真 / 亚历山德丽娜·莎芭丝缇安,B-,1,1,1,1,1,1,1,0.01,0.01,222,26075,1,0,sd,sd:2.6.1,5-2_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
anton|astra-yao|seed,"anton, astra-yao, seed",安东·伊万诺夫 / 耀嘉音 / 「席德」,B-,1,1,1,1,1,1,1,0.01,0.01,153,20971,1,0,da,da:2.8.1,1-3_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
anton|rina|seed,"anton, rina, seed",安东·伊万诺夫 / 亚历山德丽娜·莎芭丝缇安 / 「席德」,B-,1,1,1,1,1,1,1,0.01,0.01,222,26464,1,0,sd,sd:2.6.1,5-2_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
aria|astra-yao|jane-doe,"aria, astra-yao, jane-doe",爱芮 / 耀嘉音 / 简·杜,B-,1,1,1,1,1,1,1,0.01,0.01,197,12958,1,0,da,da:2.8.2,1-3_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
aria|dialyn|lucia,"aria, dialyn, lucia",爱芮 / 琉音 / 卢西娅,B-,1,1,1,1,1,1,1,0.01,0.01,197,14308,1,0,da,da:2.8.2,1-3_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
aria|lighter|sunna,"aria, lighter, sunna",爱芮 / 莱特 / 千夏,B-,1,1,1,1,1,1,1,0.01,0.01,197,17522,1,0,da,da:2.8.2,1-3_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
aria|lighter|ukinami-yuzuha,"aria, lighter, ukinami-yuzuha",爱芮 / 莱特 / 浮波柚叶,B-,1,1,1,1,1,1,1,0.01,0.01,160,27812,1,0,sd,sd:2.6.4,5-2_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
aria|nangong-yu|trigger,"aria, nangong-yu, trigger",爱芮 / 南宫羽 / 「扳机」,B-,1,1,1,1,1,1,1,0.01,0.01,197,20717,1,0,da,da:2.8.2,1-3_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
aria|nangong-yu|yixuan,"aria, nangong-yu, yixuan",爱芮 / 南宫羽 / 仪玄,B-,1,1,1,1,1,1,1,0.01,0.01,197,15748,1,0,da,da:2.8.2,1-3_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
aria|pulchra|sunna,"aria, pulchra, sunna",爱芮 / 波可娜·费雷尼 / 千夏,B-,1,1,1,1,1,1,1,0.01,0.01,160,27002,1,0,sd,sd:2.6.4,5-2_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
aria|pulchra|zhao,"aria, pulchra, zhao",爱芮 / 波可娜·费雷尼 / 照,B-,1,1,1,1,1,1,1,0.01,0.01,160,25624,1,0,sd,sd:2.6.4,5-2_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
aria|seth|sunna,"aria, seth, sunna",爱芮 / 赛斯·洛威尔 / 千夏,B-,1,1,1,1,1,1,1,0.01,0.01,128,25846,1,0,da,da:2.6.2,1-1_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
astra-yao|banyue|lycaon,"astra-yao, banyue, lycaon",耀嘉音 / 般岳 / 冯·莱卡恩,B-,1,1,1,1,1,1,1,0.01,0.01,200,20644,1,0,da,da:2.6.2,1-3_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
astra-yao|burnice|evelyn,"astra-yao, burnice, evelyn",耀嘉音 / 柏妮思·怀特 / 伊芙琳·舒瓦利耶,B-,1,1,1,1,1,1,1,0.01,0.01,216,28351,1,0,sd,sd:2.6.1,5-3_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
astra-yao|cissia|lighter,"astra-yao, cissia, lighter",耀嘉音 / 希希芙 / 莱特,B-,1,1,1,1,1,1,1,0.01,0.01,201,25790,1,0,sd,sd:2.7.3,5-2_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
astra-yao|cissia|seth,"astra-yao, cissia, seth",耀嘉音 / 希希芙 / 赛斯·洛威尔,B-,1,1,1,1,1,1,1,0.01,0.01,214,23297,1,0,sd,sd:2.8.2,5-3_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
astra-yao|cissia|yanagi,"astra-yao, cissia, yanagi",耀嘉音 / 希希芙 / 月城 柳,B-,1,1,1,1,1,1,1,0.01,0.01,176,26387,1,0,sd,sd:2.7.2,5-2_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
astra-yao|corin|sunna,"astra-yao, corin, sunna",耀嘉音 / 可琳·威克斯 / 千夏,B-,1,1,1,1,1,1,1,0.01,0.01,98,22034,1,0,da,da:2.6.1,1-1_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
astra-yao|evelyn|lycaon,"astra-yao, evelyn, lycaon",耀嘉音 / 伊芙琳·舒瓦利耶 / 冯·莱卡恩,B-,1,1,1,1,1,1,1,0.01,0.01,216,26038,1,0,sd,sd:2.6.1,5-3_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
astra-yao|grace-howard|jane-doe,"astra-yao, grace-howard, jane-doe",耀嘉音 / 格莉丝·霍华德 / 简·杜,B-,1,1,1,1,1,1,1,0.01,0.01,197,7318,1,0,da,da:2.8.2,1-3_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
astra-yao|grace-howard|yanagi,"astra-yao, grace-howard, yanagi",耀嘉音 / 格莉丝·霍华德 / 月城 柳,B-,1,1,1,1,1,1,1,0.01,0.01,222,26883,1,0,sd,sd:2.6.1,5-2_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
astra-yao|harumasa|miyabi,"astra-yao, harumasa, miyabi",耀嘉音 / 浅羽 悠真 / 星见 雅,B-,1,1,1,1,1,1,1,0.01,0.01,222,27477,1,0,sd,sd:2.6.1,5-2_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
astra-yao|jane-doe|seth,"astra-yao, jane-doe, seth",耀嘉音 / 简·杜 / 赛斯·洛威尔,B-,1,1,1,1,1,1,1,0.01,0.01,214,17076,1,0,sd,sd:2.8.2,5-3_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
astra-yao|lighter|lucy,"astra-yao, lighter, lucy",耀嘉音 / 莱特 / 露西亚娜·德·蒙特夫,B-,1,1,1,1,1,1,1,0.01,0.01,216,25332,1,0,sd,sd:2.6.1,5-3_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
astra-yao|nangong-yu|velina,"astra-yao, nangong-yu, velina",耀嘉音 / 南宫羽 / 维琳娜·艾嘉德,B-,1,1,1,1,1,1,1,0.01,0.01,126,21792,1,0,da,da:3.0.1,1-1_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
astra-yao|orphie-and-magus|yidhari,"astra-yao, orphie-and-magus, yidhari",耀嘉音 / 奥菲丝·马格努森 & 「鬼火」 / 伊德海莉·墨菲,B-,1,1,1,1,1,1,1,0.01,0.01,200,21003,1,0,da,da:2.6.2,1-3_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
astra-yao|piper|velina,"astra-yao, piper, velina",耀嘉音 / 派派·韦尔 / 维琳娜·艾嘉德,B-,1,1,1,1,1,1,1,0.01,0.01,126,20133,1,0,da,da:3.0.1,1-1_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
