snapshot_id,collect_date,mode,mode_cn,sub_mode,sub_mode_cn,phase_ver,phase_name,scope,rank,char_1_slug,char_2_slug,char_3_slug,bangboo_slug,char_1_name_cn,char_2_name_cn,char_3_name_cn,bangboo_name_cn,app_rate,avg_score,avg_score_m1,source_kind,source_file,source_url,raw_index,raw_json
2.6.1,2026-02-17,sd,式舆防卫,all,全部,2.6.1,式舆防卫 2.6.1,top_combined.json,650,orphie-and-magus,dialyn,lucy,rocketboo,奥菲丝·马格努森 & 「鬼火」,琉音,露西亚娜·德·蒙特夫,飚速布,0.0,0,0,hf_comps,2.6.1/sd/comps/top_combined.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.1/sd/comps/top_combined.json,581,"{""char_one"":""orphie-and-magus"",""char_two"":""dialyn"",""char_three"":""lucy"",""bangboo"":""rocketboo"",""app_rate"":0.0,""rank"":650,""avg_round"":0,""avg_round_m1"":0}"
2.6.1,2026-02-17,sd,式舆防卫,all,全部,2.6.1,式舆防卫 2.6.1,top_combined.json,650,trigger,qingyi,nicole-demara,agent-gulliver,「扳机」,青衣,妮可·德玛拉,格列佛探员,0.0,0,0,hf_comps,2.6.1/sd/comps/top_combined.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.1/sd/comps/top_combined.json,582,"{""char_one"":""trigger"",""char_two"":""qingyi"",""char_three"":""nicole-demara"",""bangboo"":""agent-gulliver"",""app_rate"":0.0,""rank"":650,""avg_round"":0,""avg_round_m1"":0}"
2.6.1,2026-02-17,sd,式舆防卫,all,全部,2.6.1,式舆防卫 2.6.1,top_combined.json,650,anton,seed,ju-fufu,plugboo,安东·伊万诺夫,「席德」,橘福福,插头布,0.0,0,0,hf_comps,2.6.1/sd/comps/top_combined.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.1/sd/comps/top_combined.json,583,"{""char_one"":""anton"",""char_two"":""seed"",""char_three"":""ju-fufu"",""bangboo"":""plugboo"",""app_rate"":0.0,""rank"":650,""avg_round"":0,""avg_round_m1"":0}"
2.6.1,2026-02-17,sd,式舆防卫,all,全部,2.6.1,式舆防卫 2.6.1,top_combined.json,650,harumasa,orphie-and-magus,astra-yao,snap,浅羽 悠真,奥菲丝·马格努森 & 「鬼火」,耀嘉音,咔嚓仔,0.0,0,0,hf_comps,2.6.1/sd/comps/top_combined.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.1/sd/comps/top_combined.json,584,"{""char_one"":""harumasa"",""char_two"":""orphie-and-magus"",""char_three"":""astra-yao"",""bangboo"":""snap"",""app_rate"":0.0,""rank"":650,""avg_round"":0,""avg_round_m1"":0}"
2.6.1,2026-02-17,sd,式舆防卫,all,全部,2.6.1,式舆防卫 2.6.1,top_combined.json,650,harumasa,zhao,astra-yao,bild-n-boolok,浅羽 悠真,照,耀嘉音,乐玩布,0.0,0,0,hf_comps,2.6.1/sd/comps/top_combined.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.1/sd/comps/top_combined.json,585,"{""char_one"":""harumasa"",""char_two"":""zhao"",""char_three"":""astra-yao"",""bangboo"":""bild-n-boolok"",""app_rate"":0.0,""rank"":650,""avg_round"":0,""avg_round_m1"":0}"
2.6.1,2026-02-17,sd,式舆防卫,all,全部,2.6.1,式舆防卫 2.6.1,top_combined.json,650,burnice,lighter,lucy,red-moccus,柏妮思·怀特,莱特,露西亚娜·德·蒙特夫,赤红莫库斯,0.0,0,0,hf_comps,2.6.1/sd/comps/top_combined.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.1/sd/comps/top_combined.json,586,"{""char_one"":""burnice"",""char_two"":""lighter"",""char_three"":""lucy"",""bangboo"":""red-moccus"",""app_rate"":0.0,""rank"":650,""avg_round"":0,""avg_round_m1"":0}"
2.6.1,2026-02-17,sd,式舆防卫,all,全部,2.6.1,式舆防卫 2.6.1,top_combined.json,650,ye-shunguang,pan-yinhu,astra-yao,robin,叶瞬光,潘引壶,耀嘉音,罗宾,0.0,0,0,hf_comps,2.6.1/sd/comps/top_combined.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.1/sd/comps/top_combined.json,587,"{""char_one"":""ye-shunguang"",""char_two"":""pan-yinhu"",""char_three"":""astra-yao"",""bangboo"":""robin"",""app_rate"":0.0,""rank"":650,""avg_round"":0,""avg_round_m1"":0}"
2.6.1,2026-02-17,sd,式舆防卫,all,全部,2.6.1,式舆防卫 2.6.1,top_combined.json,650,anby-demara-soldier-0,seed,grace-howard,plugboo,零号·安比,「席德」,格莉丝·霍华德,插头布,0.0,0,0,hf_comps,2.6.1/sd/comps/top_combined.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.1/sd/comps/top_combined.json,588,"{""char_one"":""anby-demara-soldier-0"",""char_two"":""seed"",""char_three"":""grace-howard"",""bangboo"":""plugboo"",""app_rate"":0.0,""rank"":650,""avg_round"":0,""avg_round_m1"":0}"
2.6.1,2026-02-17,sd,式舆防卫,all,全部,2.6.1,式舆防卫 2.6.1,top_combined.json,650,zhu-yuan,evelyn,nicole-demara,red-moccus,朱鸢,伊芙琳·舒瓦利耶,妮可·德玛拉,赤红莫库斯,0.0,0,0,hf_comps,2.6.1/sd/comps/top_combined.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.1/sd/comps/top_combined.json,589,"{""char_one"":""zhu-yuan"",""char_two"":""evelyn"",""char_three"":""nicole-demara"",""bangboo"":""red-moccus"",""app_rate"":0.0,""rank"":650,""avg_round"":0,""avg_round_m1"":0}"
2.6.1,2026-02-17,sd,式舆防卫,all,全部,2.6.1,式舆防卫 2.6.1,top_combined.json,650,yanagi,trigger,seth,plugboo,月城 柳,「扳机」,赛斯·洛威尔,插头布,0.0,0,0,hf_comps,2.6.1/sd/comps/top_combined.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.1/sd/comps/top_combined.json,590,"{""char_one"":""yanagi"",""char_two"":""trigger"",""char_three"":""seth"",""bangboo"":""plugboo"",""app_rate"":0.0,""rank"":650,""avg_round"":0,""avg_round_m1"":0}"
2.6.1,2026-02-17,sd,式舆防卫,all,全部,2.6.1,式舆防卫 2.6.1,top_combined.json,650,seed,trigger,dialyn,plugboo,「席德」,「扳机」,琉音,插头布,0.0,0,0,hf_comps,2.6.1/sd/comps/top_combined.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.1/sd/comps/top_combined.json,591,"{""char_one"":""seed"",""char_two"":""trigger"",""char_three"":""dialyn"",""bangboo"":""plugboo"",""app_rate"":0.0,""rank"":650,""avg_round"":0,""avg_round_m1"":0}"
2.6.1,2026-02-17,sd,式舆防卫,all,全部,2.6.1,式舆防卫 2.6.1,top_combined.json,650,hugo,lycaon,ju-fufu,robin,雨果·维拉德,冯·莱卡恩,橘福福,罗宾,0.0,0,0,hf_comps,2.6.1/sd/comps/top_combined.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.1/sd/comps/top_combined.json,592,"{""char_one"":""hugo"",""char_two"":""lycaon"",""char_three"":""ju-fufu"",""bangboo"":""robin"",""app_rate"":0.0,""rank"":650,""avg_round"":0,""avg_round_m1"":0}"
2.6.1,2026-02-17,sd,式舆防卫,all,全部,2.6.1,式舆防卫 2.6.1,top_combined.json,650,alice,jane-doe,vivian,bangvolver,爱丽丝·泰姆菲尔德,简·杜,薇薇安·班希,左轮布,0.0,0,0,hf_comps,2.6.1/sd/comps/top_combined.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.1/sd/comps/top_combined.json,593,"{""char_one"":""alice"",""char_two"":""jane-doe"",""char_three"":""vivian"",""bangboo"":""bangvolver"",""app_rate"":0.0,""rank"":650,""avg_round"":0,""avg_round_m1"":0}"
2.6.1,2026-02-17,sd,式舆防卫,all,全部,2.6.1,式舆防卫 2.6.1,top_combined.json,650,orphie-and-magus,qingyi,caesar,mercury,奥菲丝·马格努森 & 「鬼火」,青衣,凯撒·金,「墨丘利」,0.0,0,0,hf_comps,2.6.1/sd/comps/top_combined.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.1/sd/comps/top_combined.json,594,"{""char_one"":""orphie-and-magus"",""char_two"":""qingyi"",""char_three"":""caesar"",""bangboo"":""mercury"",""app_rate"":0.0,""rank"":650,""avg_round"":0,""avg_round_m1"":0}"
2.6.1,2026-02-17,sd,式舆防卫,all,全部,2.6.1,式舆防卫 2.6.1,top_combined.json,650,yixuan,dialyn,zhao,birkblick,仪玄,琉音,照,比克布利克,0.0,0,0,hf_comps,2.6.1/sd/comps/top_combined.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.1/sd/comps/top_combined.json,595,"{""char_one"":""yixuan"",""char_two"":""dialyn"",""char_three"":""zhao"",""bangboo"":""birkblick"",""app_rate"":0.0,""rank"":650,""avg_round"":0,""avg_round_m1"":0}"
2.6.1,2026-02-17,sd,式舆防卫,all,全部,2.6.1,式舆防卫 2.6.1,top_combined.json,650,harumasa,trigger,ju-fufu,plugboo,浅羽 悠真,「扳机」,橘福福,插头布,0.0,0,0,hf_comps,2.6.1/sd/comps/top_combined.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.1/sd/comps/top_combined.json,596,"{""char_one"":""harumasa"",""char_two"":""trigger"",""char_three"":""ju-fufu"",""bangboo"":""plugboo"",""app_rate"":0.0,""rank"":650,""avg_round"":0,""avg_round_m1"":0}"
2.6.1,2026-02-17,sd,式舆防卫,all,全部,2.6.1,式舆防卫 2.6.1,top_combined.json,650,banyue,orphie-and-magus,ju-fufu,mercury,般岳,奥菲丝·马格努森 & 「鬼火」,橘福福,「墨丘利」,0.0,0,0,hf_comps,2.6.1/sd/comps/top_combined.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.1/sd/comps/top_combined.json,597,"{""char_one"":""banyue"",""char_two"":""orphie-and-magus"",""char_three"":""ju-fufu"",""bangboo"":""mercury"",""app_rate"":0.0,""rank"":650,""avg_round"":0,""avg_round_m1"":0}"
2.6.1,2026-02-17,sd,式舆防卫,all,全部,2.6.1,式舆防卫 2.6.1,top_combined.json,650,miyabi,trigger,caesar,knightboo,星见 雅,「扳机」,凯撒·金,骑士布,0.0,0,0,hf_comps,2.6.1/sd/comps/top_combined.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.1/sd/comps/top_combined.json,598,"{""char_one"":""miyabi"",""char_two"":""trigger"",""char_three"":""caesar"",""bangboo"":""knightboo"",""app_rate"":0.0,""rank"":650,""avg_round"":0,""avg_round_m1"":0}"
2.6.1,2026-02-17,sd,式舆防卫,all,全部,2.6.1,式舆防卫 2.6.1,top_combined.json,650,ye-shunguang,jane-doe,zhao,sprout,叶瞬光,简·杜,照,芽芽,0.0,0,0,hf_comps,2.6.1/sd/comps/top_combined.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.1/sd/comps/top_combined.json,599,"{""char_one"":""ye-shunguang"",""char_two"":""jane-doe"",""char_three"":""zhao"",""bangboo"":""sprout"",""app_rate"":0.0,""rank"":650,""avg_round"":0,""avg_round_m1"":0}"
2.6.1,2026-02-17,sd,式舆防卫,all,全部,2.6.1,式舆防卫 2.6.1,top_combined.json,650,yixuan,lycaon,lucy,excaliboo,仪玄,冯·莱卡恩,露西亚娜·德·蒙特夫,圣剑布,0.0,0,0,hf_comps,2.6.1/sd/comps/top_combined.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.1/sd/comps/top_combined.json,600,"{""char_one"":""yixuan"",""char_two"":""lycaon"",""char_three"":""lucy"",""bangboo"":""excaliboo"",""app_rate"":0.0,""rank"":650,""avg_round"":0,""avg_round_m1"":0}"
2.6.1,2026-02-17,sd,式舆防卫,all,全部,2.6.1,式舆防卫 2.6.1,top_combined.json,650,ye-shunguang,lighter,ukinami-yuzuha,sprout,叶瞬光,莱特,浮波柚叶,芽芽,0.0,0,0,hf_comps,2.6.1/sd/comps/top_combined.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.1/sd/comps/top_combined.json,601,"{""char_one"":""ye-shunguang"",""char_two"":""lighter"",""char_three"":""ukinami-yuzuha"",""bangboo"":""sprout"",""app_rate"":0.0,""rank"":650,""avg_round"":0,""avg_round_m1"":0}"
2.6.1,2026-02-17,sd,式舆防卫,all,全部,2.6.1,式舆防卫 2.6.1,top_combined.json,650,ellen,seed,sunna,butler,艾莲·乔,「席德」,千夏,巴特勒,0.0,0,0,hf_comps,2.6.1/sd/comps/top_combined.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.1/sd/comps/top_combined.json,602,"{""char_one"":""ellen"",""char_two"":""seed"",""char_three"":""sunna"",""bangboo"":""butler"",""app_rate"":0.0,""rank"":650,""avg_round"":0,""avg_round_m1"":0}"
2.6.1,2026-02-17,sd,式舆防卫,all,全部,2.6.1,式舆防卫 2.6.1,top_combined.json,650,ellen,zhao,sunna,biggest-fan,艾莲·乔,照,千夏,阿饭,0.0,0,0,hf_comps,2.6.1/sd/comps/top_combined.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.1/sd/comps/top_combined.json,603,"{""char_one"":""ellen"",""char_two"":""zhao"",""char_three"":""sunna"",""bangboo"":""biggest-fan"",""app_rate"":0.0,""rank"":650,""avg_round"":0,""avg_round_m1"":0}"
2.6.1,2026-02-17,sd,式舆防卫,all,全部,2.6.1,式舆防卫 2.6.1,top_combined.json,650,jane-doe,ukinami-yuzuha,astra-yao,bangvolver,简·杜,浮波柚叶,耀嘉音,左轮布,0.0,0,0,hf_comps,2.6.1/sd/comps/top_combined.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.1/sd/comps/top_combined.json,604,"{""char_one"":""jane-doe"",""char_two"":""ukinami-yuzuha"",""char_three"":""astra-yao"",""bangboo"":""bangvolver"",""app_rate"":0.0,""rank"":650,""avg_round"":0,""avg_round_m1"":0}"
