tier_snapshot_id,fetched_at,tier_updated_at,tier_updated_date,tier_mode,tier_mode_cn,character_slug,character_name_en,character_name_cn,prydwen_category,prydwen_role,role_group,role_group_cn,tier,rating,tags,marks,is_new,element,element_cn,style,style_cn,faction,rarity,icon_url,source_url
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,ju-fufu,Ju Fufu,橘福福,Support,辅助,support,辅助,T0.5,10,,,,Fire,火,Stun,击破,Yunkui Summit,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/ju-fufu.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,ju-fufu,Ju Fufu,橘福福,Support,辅助,support,辅助,T0.5,10,,,,Fire,火,Stun,击破,Yunkui Summit,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/ju-fufu.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,koleda,Koleda Belobog,珂蕾妲·贝洛伯格,Support,辅助,support,辅助,T2,7,,,,Fire,火,Stun,击破,Belobog Heavy Industries,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/koleda.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,koleda,Koleda Belobog,珂蕾妲·贝洛伯格,Support,辅助,support,辅助,T2,7,,,,Fire,火,Stun,击破,Belobog Heavy Industries,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/koleda.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,lighter,Lighter,莱特,Support,辅助,support,辅助,T1,9,,down,,Fire,火,Stun,击破,Sons of Calydon,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/lighter.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,lighter,Lighter,莱特,Support,辅助,support,辅助,T1,9,,down,,Fire,火,Stun,击破,Sons of Calydon,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/lighter.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,lucia,Lucia,卢西娅,Support,辅助,support,辅助,T0,11,,,,Ether,以太,Support,支援,Spook Shack,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/lucia.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,lucia,Lucia,卢西娅,Support,辅助,support,辅助,T0,11,,,,Ether,以太,Support,支援,Spook Shack,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/lucia.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,lucy,Luciana de Montefio,露西亚娜·德·蒙特夫,Support,辅助,support,辅助,T2,7,,,,Fire,火,Support,支援,Sons of Calydon,A,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/lucy.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,lucy,Luciana de Montefio,露西亚娜·德·蒙特夫,Support,辅助,support,辅助,T2,7,,,,Fire,火,Support,支援,Sons of Calydon,A,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/lucy.webp,https://www.prydwen.gg/zenless/tier-list
